"","crossID","Order_1","Year","plotNo","Region","plotNo_Numeric","date","GrowDays","Pain2Plant","femaPar","femaParLoc","malePar","maleParLoc","Crosses","crossID.1","PlantingDens","development","line","position","block","PhotoScore","wetWgtPlot","lengthPlot","wetWgtPerM","percDryWgt","dryWgtPerM","densityBlades","popChk","withinLoc","isSelf"
"1","SL18-UCONN-1",1,"2019","1","GOM","1","5_30_2019","122",NA,"SA18-CB-10-FG1","CB","SL18-SF-19-MG2","SF","SA18-CB-10-FG1xSL18-SF-19-MG2","SL18-UCONN-1",3,4,"2","TBD","7",3,7.25,0.88,8.238636364,5.73,0.42,500,"ES","0","0"
"10","SL18-UCONN-10",10,"2019","10","GOM","10","5_31_2019","122",NA,"SL18-LD-10-FG1","LD","SL18-OI-4-MG1","OI","SL18-LD-10-FG1xSL18-OI-4-MG1","SL18-UCONN-10",2,1,"3","TBD","9",3,2.58,0.95,2.715789474,8.99,0.23,200,"ES","0","0"
"99","SL18-UCONN-100",99,"2019","100","GOM","100","5_31_2019","122",NA,"SL18-NL-6-FG1","NL","SL18-OI-11-MG2","OI","SL18-NL-6-FG1xSL18-OI-11-MG2","SL18-UCONN-100",3,4,"4","TBD","8",2,1.05,0.94,1.117021277,10.16,0.11,0,"ES","0","0"
"100","SL18-UCONN-101",100,"2019","101","GOM","101","5_30_2019","122",NA,"SL18-NL-6-FG1","NL","SL18-OI-14-MG2","OI","SL18-NL-6-FG1xSL18-OI-14-MG2","SL18-UCONN-101",3,4,"1","TBD","2",3,5.18,0.9,5.755555556,9.18,0.48,340,"ES","0","0"
"101","SL18-UCONN-102",101,"2019","102","GOM","102","5_30_2019","122",NA,"SL18-NL-6-FG1","NL","SL18-OI-15-MG1","OI","SL18-NL-6-FG1xSL18-OI-15-MG1","SL18-UCONN-102",3,4,"1","TBD","9",3,5.24,0.94,5.574468085,9,0.47,660,"ES","0","0"
"102","SL18-UCONN-103",102,"2019","103","GOM","103","5_30_2019","122",NA,"SL18-NL-6-FG1","NL","SL18-OI-16-MG1","OI","SL18-NL-6-FG1xSL18-OI-16-MG1","SL18-UCONN-103",3,4,"1","TBD","5",3,3.61,0.86,4.197674419,9.49,0.34,560,"ES","0","0"
"103","SL18-UCONN-104",103,"2019","104","GOM","104","5_30_2019","122",NA,"SL18-NL-6-FG1","NL","SL18-SF-17-MG1","SF","SL18-NL-6-FG1xSL18-SF-17-MG1","SL18-UCONN-104",3,4,"1","TBD","5",3,4.4,0.78,5.641025641,9.43,0.41,240,"ES","0","0"
"104","SL18-UCONN-105",104,"2019","105","GOM","105","5_30_2019","122",NA,"SL18-NL-6-FG1","NL","SL18-SF-19-MG2","SF","SL18-NL-6-FG1xSL18-SF-19-MG2","SL18-UCONN-105",3,4,"1","TBD","1",3,4.75,0.95,5,5.59,0.27,620,"ES","0","0"
"11","SL18-UCONN-11",11,"2019","11","GOM","11","5_30_2019","122",NA,"SL18-LD-10-FG2","LD","SA18-CB-7-MG2","CB","SL18-LD-10-FG2xSA18-CB-7-MG2","SL18-UCONN-11",1,4,"2","TBD","6",3,4.7,0.98,4.795918367,8.16,0.38,380,"ES","0","0"
"12","SL18-UCONN-12",12,"2019","12","GOM","12","5_29_2019","122",NA,"SL18-LD-10-FG2","LD","SL18-NL-3-MG2","NL","SL18-LD-10-FG2xSL18-NL-3-MG2","SL18-UCONN-12",2,1,"2","TBD","1",3,0.96,0.79,1.215189873,11.74,0.11,260,"ES","0","0"
"119","SL18-UCONN-120",119,"2019","120","GOM","120","5_31_2019","122",NA,"SL18-NL-9-FG2","NL","SA18-CB-7-MG1","CB","SL18-NL-9-FG2xSA18-CB-7-MG1","SL18-UCONN-120",2,4,"4","TBD","6",3,5.4,0.96,5.625,4.07,0.22,380,"ES","0","0"
"120","SL18-UCONN-121",120,"2019","121","GOM","121","5_30_2019","122",NA,"SL18-NL-9-FG2","NL","SL18-SF-19-MG1","SF","SL18-NL-9-FG2xSL18-SF-19-MG1","SL18-UCONN-121",2,4,"3","TBD","4",3,3,0.84,3.571428571,9.25,0.28,580,"ES","0","0"
"123","SL18-UCONN-124",123,"2019","124","GOM","124","5_29_2019","122",NA,"SL18-OI-11-FG1","OI","SL18-SF-15-MG2","SF","SL18-OI-11-FG1xSL18-SF-15-MG2","SL18-UCONN-124",2,4,"2","TBD","4",3,4.17,0.96,4.34375,5.43,0.23,320,"ES","0","0"
"124","SL18-UCONN-125",124,"2019","125","GOM","125","5_29_2019","122",NA,"SL18-OI-15-FG1","OI","SA18-CB-2-MG3","CB","SL18-OI-15-FG1xSA18-CB-2-MG3","SL18-UCONN-125",1,4,"2","TBD","2",3,3.76,0.67,5.611940299,9.93,0.37,0,"ES","0","0"
"126","SL18-UCONN-127",126,"2019","127","GOM","127","5_30_2019","122",NA,"SL18-OI-15-FG1","OI","SL18-NL-5-MG1","NL","SL18-OI-15-FG1xSL18-NL-5-MG1","SL18-UCONN-127",1,4,"1","TBD","8",3,1,0.74,1.351351351,9.31,0.09,200,"ES","0","0"
"127","SL18-UCONN-128",127,"2019","128","GOM","128","5_30_2019","122",NA,"SL18-OI-15-FG1","OI","SL18-SF-15-MG1","SF","SL18-OI-15-FG1xSL18-SF-15-MG1","SL18-UCONN-128",3,4,"1","TBD","8",3,4.42,0.92,4.804347826,9.21,0.41,340,"ES","0","0"
"135","SL18-UCONN-136",135,"2019","136","GOM","136","5_30_2019","122",NA,"SL18-OI-16-FG3","OI","SA18-CB-4-MG3","CB","SL18-OI-16-FG3xSA18-CB-4-MG3","SL18-UCONN-136",2,4,"3","TBD","2",3,4.84,0.81,5.975308642,8.75,0.42,480,"ES","0","0"
"136","SL18-UCONN-137",136,"2019","137","GOM","137","5_30_2019","122",NA,"SL18-OI-16-FG3","OI","SA18-CB-5-MG3","CB","SL18-OI-16-FG3xSA18-CB-5-MG3","SL18-UCONN-137",1,4,"1","TBD","9",2,0.55,0.92,0.597826087,12.34,0.07,140,"ES","0","0"
"14","SL18-UCONN-14",14,"2019","14","GOM","14","5_30_2019","122",NA,"SL18-LD-13-FG2","LD","SL18-LD-13-MG2","LD","SL18-LD-13-FG2xSL18-LD-13-MG2","SL18-UCONN-14",3,4,"1","TBD","5",3,3.27,0.93,3.516129032,9.17,0.3,420,"ES","1","1"
"139","SL18-UCONN-140",139,"2019","140","GOM","140","5_30_2019","122",NA,"SL18-OI-16-FG3","OI","SL18-LD-3-MG2","LD","SL18-OI-16-FG3xSL18-LD-3-MG2","SL18-UCONN-140",1,1,"1","TBD","3",3,2.27,0.96,2.364583333,8.17,0.19,200,"ES","0","0"
"140","SL18-UCONN-141",140,"2019","141","GOM","141","5_31_2019","122",NA,"SL18-OI-16-FG3","OI","SL18-NL-6-MG1","NL","SL18-OI-16-FG3xSL18-NL-6-MG1","SL18-UCONN-141",1,1,"3","TBD","8",3,2.29,0.93,2.462365591,9.33,0.21,140,"ES","0","0"
"141","SL18-UCONN-142",141,"2019","142","GOM","142","5_30_2019","122",NA,"SL18-OI-16-FG3","OI","SL18-SF-17-MG2","SF","SL18-OI-16-FG3xSL18-SF-17-MG2","SL18-UCONN-142",3,4,"1","TBD","2",3,3.8,0.76,5,9.06,0.34,620,"ES","0","0"
"142","SL18-UCONN-143",142,"2019","143","GOM","143","5_29_2019","122",NA,"SL18-OI-17-FG1","OI","SL18-SF-13-MG2","SF","SL18-OI-17-FG1xSL18-SF-13-MG2","SL18-UCONN-143",3,4,"2","TBD","3",3,5.39,0.84,6.416666667,8,0.43,440,"ES","0","0"
"143","SL18-UCONN-145",143,"2019","145","GOM","145","5_30_2019","122",NA,"SL18-OI-17-FG2","OI","SL18-SF-17-MG2","SF","SL18-OI-17-FG2xSL18-SF-17-MG2","SL18-UCONN-145",1,1,"1","TBD","2",2,0.5,0.77,0.649350649,8.31,0.04,40,"ES","0","0"
"144","SL18-UCONN-146",144,"2019","146","GOM","146","5_30_2019","122",NA,"SL18-OI-18-FG1","OI","SL18-OI-9-MG3","OI","SL18-OI-18-FG1xSL18-OI-9-MG3","SL18-UCONN-146",3,4,"1","TBD","1",3,3.93,0.94,4.180851064,8.07,0.32,300,"ES","1","0"
"145","SL18-UCONN-147",145,"2019","147","GOM","147","5_30_2019","122",NA,"SL18-OI-18-FG2","OI","SA18-CB-7-MG1","CB","SL18-OI-18-FG2xSA18-CB-7-MG1","SL18-UCONN-147",2,1,"2","TBD","6",3,3.34,0.97,3.443298969,9.98,0.33,160,"ES","0","0"
"146","SL18-UCONN-148",146,"2019","148","GOM","148","5_31_2019","122",NA,"SL18-OI-18-FG2","OI","SL18-LD-10-MG1","LD","SL18-OI-18-FG2xSL18-LD-10-MG1","SL18-UCONN-148",2,1,"4","TBD","9",3,3.67,0.92,3.989130435,8.44,0.31,300,"ES","0","0"
"147","SL18-UCONN-149",147,"2019","149","GOM","149","5_30_2019","122",NA,"SL18-OI-18-FG2","OI","SL18-LD-9-MG1","LD","SL18-OI-18-FG2xSL18-LD-9-MG1","SL18-UCONN-149",1,1,"3","TBD","1",3,2.53,0.91,2.78021978,10.89,0.28,220,"ES","0","0"
"148","SL18-UCONN-150",148,"2019","150","GOM","150","5_31_2019","122",NA,"SL18-OI-18-FG2","OI","SL18-NL-2-MG2","NL","SL18-OI-18-FG2xSL18-NL-2-MG2","SL18-UCONN-150",2,1,"4","TBD","3",3,2.34,0.88,2.659090909,9.06,0.21,300,"ES","0","0"
"149","SL18-UCONN-151",149,"2019","151","GOM","151","5_29_2019","122",NA,"SL18-OI-18-FG2","OI","SL18-LD-2-MG3","SF","SL18-OI-18-FG2xSL18-LD-2-MG3","SL18-UCONN-151",1,1,"2","TBD","8",2,0.83,0.82,1.012195122,9.34,0.08,80,"ES","0","0"
"150","SL18-UCONN-152",150,"2019","152","GOM","152","5_30_2019","122",NA,"SL18-OI-18-FG3","OI","SL18-LL-9-MG1","LL","SL18-OI-18-FG3xSL18-LL-9-MG1","SL18-UCONN-152",1,1,"1","TBD","8",2,0.82,1,0.82,10.4,0.09,40,"ES","0","0"
"151","SL18-UCONN-153",151,"2019","153","GOM","153","5_31_2019","122",NA,"SL18-OI-18-FG3","OI","SL18-OI-7-MG1","OI","SL18-OI-18-FG3xSL18-OI-7-MG1","SL18-UCONN-153",2,4,"4","TBD","1",3,2.74,0.86,3.186046512,9.67,0.26,180,"ES","1","0"
"152","SL18-UCONN-154",152,"2019","154","GOM","154","5_30_2019","122",NA,"SL18-OI-18-FG5","OI","SA18-CB-4-MG3","CB","SL18-OI-18-FG5xSA18-CB-4-MG3","SL18-UCONN-154",1,1,"3","TBD","4",2,1.31,0.77,1.701298701,13.82,0.18,100,"ES","0","0"
"153","SL18-UCONN-155",153,"2019","155","GOM","155","5_31_2019","122",NA,"SL18-OI-18-FG5","OI","SL18-LD-2-MG1","LD","SL18-OI-18-FG5xSL18-LD-2-MG1","SL18-UCONN-155",2,1,"3","TBD","6",3,3.02,0.98,3.081632653,9.23,0.28,280,"ES","0","0"
"155","SL18-UCONN-157",155,"2019","157","GOM","157","5_31_2019","122",NA,"SL18-OI-18-FG5","OI","SL18-SF-15-MG2","SF","SL18-OI-18-FG5xSL18-SF-15-MG2","SL18-UCONN-157",2,4,"3","TBD","9",3,4.94,0.92,5.369565217,10.32,0.51,220,"ES","0","0"
"156","SL18-UCONN-158",156,"2019","158","GOM","158","5_30_2019","122",NA,"SL18-OI-18-FG6","OI","SA18-CB-1-MG2","CB","SL18-OI-18-FG6xSA18-CB-1-MG2","SL18-UCONN-158",2,1,"1","TBD","6",3,3.65,0.87,4.195402299,7.39,0.27,280,"ES","0","0"
"157","SL18-UCONN-159",157,"2019","159","GOM","159","5_31_2019","122",NA,"SL18-OI-18-FG6","OI","SL18-NL-6-MG1","NL","SL18-OI-18-FG6xSL18-NL-6-MG1","SL18-UCONN-159",2,1,"3","TBD","8",3,1.43,0.86,1.662790698,9.73,0.14,240,"ES","0","0"
"160","SL18-UCONN-162",160,"2019","162","GOM","162","5_30_2019","122",NA,"SL18-OI-2-FG2","OI","SL18-LD-1-MG2","LD","SL18-OI-2-FG2xSL18-LD-1-MG2","SL18-UCONN-162",2,1,"2","TBD","5",2,1.02,0.9,1.133333333,10.03,0.1,20,"ES","0","0"
"17","SL18-UCONN-17",17,"2019","17","GOM","17","5_30_2019","122",NA,"SL18-LD-1-FG1","LD","SL18-NL-2-MG2","NL","SL18-LD-1-FG1xSL18-NL-2-MG2","SL18-UCONN-17",2,1,"3","TBD","1",3,1.95,0.87,2.24137931,8.62,0.17,340,"ES","0","0"
"168","SL18-UCONN-170",168,"2019","170","GOM","170","5_29_2019","122",NA,"SL18-OI-2-FG3","OI","SL18-NL-9-MG1","NL","SL18-OI-2-FG3xSL18-NL-9-MG1","SL18-UCONN-170",2,1,"2","TBD","8",2,0.67,0.78,0.858974359,12.18,0.08,160,"ES","0","0"
"170","SL18-UCONN-172",170,"2019","172","GOM","172","5_31_2019","122",NA,"SL18-OI-2-FG3","OI","SL18-SF-17-MG1","SF","SL18-OI-2-FG3xSL18-SF-17-MG1","SL18-UCONN-172",2,1,"4","TBD","2",3,1.74,0.92,1.891304348,9.64,0.17,0,"ES","0","0"
"172","SL18-UCONN-174",172,"2019","174","GOM","174","5_30_2019","122",NA,"SL18-OI-6-FG1","OI","SA18-CB-2-MG1","CB","SL18-OI-6-FG1xSA18-CB-2-MG1","SL18-UCONN-174",2,1,"1","TBD","4",2,0.57,1,0.57,12.82,0.07,60,"ES","0","0"
"173","SL18-UCONN-175",173,"2019","175","GOM","175","5_30_2019","122",NA,"SL18-OI-6-FG1","OI","SA18-CB-4-MG1","CB","SL18-OI-6-FG1xSA18-CB-4-MG1","SL18-UCONN-175",2,4,"1","TBD","4",3,2.75,0.91,3.021978022,6.92,0.19,180,"ES","0","0"
"174","SL18-UCONN-176",174,"2019","176","GOM","176","5_29_2019","122",NA,"SL18-OI-6-FG1","OI","SL18-LD-13-MG2","LD","SL18-OI-6-FG1xSL18-LD-13-MG2","SL18-UCONN-176",1,1,"2","TBD","3",2,1.58,0.65,2.430769231,9.9,0.16,180,"ES","0","0"
"175","SL18-UCONN-177",175,"2019","177","GOM","177","5_31_2019","122",NA,"SL18-OI-6-FG1","OI","SL18-LD-2-MG1","LD","SL18-OI-6-FG1xSL18-LD-2-MG1","SL18-UCONN-177",2,1,"4","TBD","1",3,2.36,0.88,2.681818182,9.83,0.23,160,"ES","0","0"
"176","SL18-UCONN-178",176,"2019","178","GOM","178","5_31_2019","122",NA,"SL18-OI-6-FG1","OI","SL18-LD-5-MG1","LD","SL18-OI-6-FG1xSL18-LD-5-MG1","SL18-UCONN-178",2,1,"3","TBD","9",3,3.76,0.97,3.87628866,4.29,0.16,260,"ES","0","0"
"18","SL18-UCONN-18",18,"2019","18","GOM","18","5_30_2019","122",NA,"SL18-LD-1-FG1","LD","SL18-OI-18-MG1","OI","SL18-LD-1-FG1xSL18-OI-18-MG1","SL18-UCONN-18",1,1,"3","TBD","1",3,1.9,0.86,2.209302326,9.74,0.18,340,"ES","0","0"
"178","SL18-UCONN-180",178,"2019","180","GOM","180","5_31_2019","122",NA,"SL18-OI-6-FG1","OI","SL18-NL-9-MG1","NL","SL18-OI-6-FG1xSL18-NL-9-MG1","SL18-UCONN-180",1,1,"4","TBD","2",2,1.73,0.76,2.276315789,10.87,0.19,120,"ES","0","0"
"179","SL18-UCONN-181",179,"2019","181","GOM","181","5_31_2019","122",NA,"SL18-OI-6-FG1","OI","SL18-SF-15-MG1","SF","SL18-OI-6-FG1xSL18-SF-15-MG1","SL18-UCONN-181",2,1,"4","TBD","3",3,2.67,0.82,3.256097561,8.81,0.24,220,"ES","0","0"
"180","SL18-UCONN-182",180,"2019","182","GOM","182","5_31_2019","122",NA,"SL18-OI-6-FG1","OI","SL18-SF-19-MG1","SF","SL18-OI-6-FG1xSL18-SF-19-MG1","SL18-UCONN-182",2,1,"4","TBD","2",3,1.47,0.84,1.75,8.22,0.12,80,"ES","0","0"
"181","SL18-UCONN-183",181,"2019","183","GOM","183","5_30_2019","122",NA,"SL18-OI-7-FG3","OI","SA18-CB-2-MG3","CB","SL18-OI-7-FG3xSA18-CB-2-MG3","SL18-UCONN-183",2,1,"3","TBD","5",3,1.67,0.75,2.226666667,9.71,0.16,260,"ES","0","0"
"184","SL18-UCONN-186",184,"2019","186","GOM","186","5_29_2019","122",NA,"SL18-OI-9-FG1","OI","SL18-LL-9-MG2","LL","SL18-OI-9-FG1xSL18-LL-9-MG2","SL18-UCONN-186",2,1,"2","TBD","9",3,2,0.85,2.352941176,8.49,0.17,300,"ES","0","0"
"187","SL18-UCONN-189",187,"2019","189","GOM","189","5_30_2019","122",NA,"SL18-SF-13-FG1","SF","SL18-LL-9-MG3","LL","SL18-SF-13-FG1xSL18-LL-9-MG3","SL18-UCONN-189",2,4,"3","TBD","4",3,2.04,0.93,2.193548387,12.02,0.25,80,"ES","0","0"
"19","SL18-UCONN-19",19,"2019","19","GOM","19","5_30_2019","122",NA,"SL18-LD-1-FG2","LD","SA18-CB-4-MG3","CB","SL18-LD-1-FG2xSA18-CB-4-MG3","SL18-UCONN-19",2,1,"3","TBD","3",3,5.14,0.77,6.675324675,8.91,0.46,180,"ES","0","0"
"188","SL18-UCONN-190",188,"2019","190","GOM","190","5_30_2019","122",NA,"SL18-SF-17-FG1","SF","SL18-LL-9-MG1","LL","SL18-SF-17-FG1xSL18-LL-9-MG1","SL18-UCONN-190",2,1,"1","TBD","9",2,1.01,0.91,1.10989011,10.27,0.1,80,"ES","0","0"
"190","SL18-UCONN-192",190,"2019","192","GOM","192","5_30_2019","122",NA,"SL18-SF-17-FG3","SF","SA18-CB-10-MG1","CB","SL18-SF-17-FG3xSA18-CB-10-MG1","SL18-UCONN-192",2,4,"1","TBD","1",3,4.25,0.9,4.722222222,7.46,0.32,420,"ES","0","0"
"191","SL18-UCONN-193",191,"2019","193","GOM","193","5_30_2019","122",NA,"SL18-SF-17-FG3","SF","SA18-CB-3-MG3","CB","SL18-SF-17-FG3xSA18-CB-3-MG3","SL18-UCONN-193",2,4,"1","TBD","4",3,1.97,0.83,2.373493976,8.83,0.17,20,"ES","0","0"
"192","SL18-UCONN-194",192,"2019","194","GOM","194","5_31_2019","122",NA,"SL18-SF-17-FG3","SF","SL18-LD-2-MG1","LD","SL18-SF-17-FG3xSL18-LD-2-MG1","SL18-UCONN-194",2,1,"4","TBD","6",2,1.59,0.92,1.72826087,9.29,0.15,240,"ES","0","0"
"193","SL18-UCONN-195",193,"2019","195","GOM","195","5_30_2019","122",NA,"SL18-SF-17-FG3","SF","SL18-NL-10-MG2","NL","SL18-SF-17-FG3xSL18-NL-10-MG2","SL18-UCONN-195",3,1,"1","TBD","8",2,0.55,0.95,0.578947368,10.99,0.06,160,"ES","0","0"
"194","SL18-UCONN-196",194,"2019","196","GOM","196","5_31_2019","122",NA,"SL18-SF-17-FG3","SF","SL18-NL-2-MG3","NL","SL18-SF-17-FG3xSL18-NL-2-MG3","SL18-UCONN-196",3,4,"4","TBD","4",3,2.64,0.81,3.259259259,8.47,0.22,0,"ES","0","0"
"195","SL18-UCONN-197",195,"2019","197","GOM","197","5_31_2019","122",NA,"SL18-SF-17-FG3","SF","SL18-NL-9-MG1","NL","SL18-SF-17-FG3xSL18-NL-9-MG1","SL18-UCONN-197",3,1,"4","TBD","9",3,2.75,0.89,3.08988764,8.55,0.24,260,"ES","0","0"
"196","SL18-UCONN-198",196,"2019","198","GOM","198","5_29_2019","122",NA,"SL18-SF-17-FG3","SF","SL18-OI-7-MG1","OI","SL18-SF-17-FG3xSL18-OI-7-MG1","SL18-UCONN-198",3,1,"2","TBD","9",3,2.8,0.81,3.456790123,8.35,0.23,500,"ES","0","0"
"197","SL18-UCONN-199",197,"2019","199","GOM","199","5_29_2019","122",NA,"SL18-SF-17-FG3","SF","SL18-OI-9-MG3","OI","SL18-SF-17-FG3xSL18-OI-9-MG3","SL18-UCONN-199",3,1,"2","TBD","9",3,2.88,0.8,3.6,9.16,0.26,380,"ES","0","0"
"2","SL18-UCONN-2",2,"2019","2","GOM","2","5_31_2019","122",NA,"SA18-CB-10-FG2","CB","SL18-LL-9-MG1","LL","SA18-CB-10-FG2xSL18-LL-9-MG1","SL18-UCONN-2",1,1,"4","TBD","6",3,2.16,0.86,2.511627907,9.1,0.2,100,"ES","0","0"
"20","SL18-UCONN-20",20,"2019","20","GOM","20","5_31_2019","122",NA,"SL18-LD-1-FG2","LD","SL18-SF-13-MG3","SF","SL18-LD-1-FG2xSL18-SF-13-MG3","SL18-UCONN-20",2,1,"3","TBD","6",3,2.42,0.84,2.880952381,9.16,0.22,380,"ES","0","0"
"21","SL18-UCONN-21",21,"2019","21","GOM","21","5_30_2019","122",NA,"SL18-LD-1-FG2","LD","SL18-SF-15-MG1","SF","SL18-LD-1-FG2xSL18-SF-15-MG1","SL18-UCONN-21",2,1,"2","TBD","6",3,3.66,0.94,3.893617021,7.28,0.27,400,"ES","0","0"
"23","SL18-UCONN-23",23,"2019","23","GOM","23","5_31_2019","122",NA,"SL18-LD-1-FG3","LD","SL18-NL-5-MG1","NL","SL18-LD-1-FG3xSL18-NL-5-MG1","SL18-UCONN-23",2,1,"4","TBD","7",2,0.97,0.92,1.054347826,10.08,0.1,180,"ES","0","0"
