"","crossID","Order_1","Year","plotNo","Region","plotNo_Numeric","date","GrowDays","Pain2Plant","femaPar","femaParLoc","malePar","maleParLoc","Crosses","crossID.1","PlantingDens","development","line","position","block","PhotoScore","wetWgtPlot","lengthPlot","wetWgtPerM","percDryWgt","dryWgtPerM","densityBlades","popChk","withinLoc","isSelf"
"24","SL18-UCONN-24",24,"2019","24","GOM","24","5_29_2019","122",NA,"SL18-LD-1-FG3","LD","SL18-OI-11-MG2","OI","SL18-LD-1-FG3xSL18-OI-11-MG2","SL18-UCONN-24",2,1,"2","TBD","3",3,2.65,0.84,3.154761905,11.31,0.3,300,"ES","0","0"
"25","SL18-UCONN-25",25,"2019","25","GOM","25","5_30_2019","122",NA,"SL18-LD-1-FG3","LD","SL18-OI-15-MG1","OI","SL18-LD-1-FG3xSL18-OI-15-MG1","SL18-UCONN-25",2,1,"1","TBD","6",3,1.78,0.85,2.094117647,7.79,0.14,280,"ES","0","0"
"26","SL18-UCONN-26",26,"2019","26","GOM","26","5_31_2019","122",NA,"SL18-LD-1-FG3","LD","SL18-OI-16-MG1","OI","SL18-LD-1-FG3xSL18-OI-16-MG1","SL18-UCONN-26",2,1,"4","TBD","9",3,1.3,1,1.3,8.58,0.11,140,"ES","0","0"
"27","SL18-UCONN-27",27,"2019","27","GOM","27","5_30_2019","122",NA,"SL18-LD-1-FG3","LD","SL18-OI-6-MG2","OI","SL18-LD-1-FG3xSL18-OI-6-MG2","SL18-UCONN-27",2,1,"1","TBD","6",3,1.57,0.78,2.012820513,10.01,0.16,80,"ES","0","0"
"28","SL18-UCONN-28",28,"2019","28","GOM","28","5_29_2019","122",NA,"SL18-LD-1-FG3","LD","SL18-OI-7-MG1","OI","SL18-LD-1-FG3xSL18-OI-7-MG1","SL18-UCONN-28",2,1,"2","TBD","7",3,2.21,0.94,2.35106383,8.41,0.19,460,"ES","0","0"
"29","SL18-UCONN-29",29,"2019","29","GOM","29","5_30_2019","122",NA,"SL18-LD-1-FG3","LD","SL18-OI-9-MG3","OI","SL18-LD-1-FG3xSL18-OI-9-MG3","SL18-UCONN-29",2,1,"1","TBD","7",3,2.2,0.89,2.471910112,8.96,0.2,320,"ES","0","0"
"3","SL18-UCONN-3",3,"2019","3","GOM","3","5_30_2019","122",NA,"SA18-CB-4-FG3","CB","SA18-CB-4-MG3","CB","SA18-CB-4-FG3xSA18-CB-4-MG3","SL18-UCONN-3",3,4,"1","TBD","9",3,2.68,0.96,2.791666667,8.3,0.22,160,"ES","1","1"
"30","SL18-UCONN-30",30,"2019","30","GOM","30","5_31_2019","122",NA,"SL18-LD-1-FG3","LD","SL18-NL-9-MG2","SF","SL18-LD-1-FG3xSL18-NL-9-MG2","SL18-UCONN-30",1,1,"4","TBD","8",2,1.03,0.87,1.183908046,11,0.11,60,"ES","0","0"
"31","SL18-UCONN-31",31,"2019","31","GOM","31","5_30_2019","122",NA,"SL18-LD-1-FG3","LD","SL18-OI-15-MG2","SF","SL18-LD-1-FG3xSL18-OI-15-MG2","SL18-UCONN-31",2,1,"1","TBD","1",3,2.47,0.91,2.714285714,9.87,0.24,400,"ES","0","0"
"32","SL18-UCONN-32",32,"2019","32","GOM","32","5_29_2019","122",NA,"SL18-LD-2-FG2","LD","SA18-CB-3-MG3","CB","SL18-LD-2-FG2xSA18-CB-3-MG3","SL18-UCONN-32",2,1,"2","TBD","7",3,3.01,0.89,3.382022472,7.07,0.21,220,"ES","0","0"
"33","SL18-UCONN-33",33,"2019","33","GOM","33","5_29_2019","122",NA,"SL18-LD-2-FG2","LD","SL18-LL-9-MG2","LL","SL18-LD-2-FG2xSL18-LL-9-MG2","SL18-UCONN-33",2,1,"2","TBD","1",3,2.5,0.9,2.777777778,9.49,0.24,200,"ES","0","0"
"34","SL18-UCONN-34",34,"2019","34","GOM","34","5_31_2019","122",NA,"SL18-LD-2-FG2","LD","SL18-NL-9-MG1","NL","SL18-LD-2-FG2xSL18-NL-9-MG1","SL18-UCONN-34",2,1,"3","TBD","6",2,0.43,0.71,0.605633803,9.82,0.04,20,"ES","0","0"
"35","SL18-UCONN-35",35,"2019","35","GOM","35","5_30_2019","122",NA,"SL18-LD-2-FG2","LD","SL18-SF-19-MG1","SF","SL18-LD-2-FG2xSL18-SF-19-MG1","SL18-UCONN-35",2,1,"1","TBD","3",3,1.45,0.91,1.593406593,22.72,0.33,280,"ES","0","0"
"37","SL18-UCONN-37",37,"2019","37","GOM","37","5_31_2019","122",NA,"SL18-LD-3-FG1","LD","SL18-NL-9-MG1","NL","SL18-LD-3-FG1xSL18-NL-9-MG1","SL18-UCONN-37",1,1,"4","TBD","4",3,1.12,0.61,1.836065574,7.57,0.08,80,"ES","0","0"
"38","SL18-UCONN-38",38,"2019","38","GOM","38","5_31_2019","122",NA,"SL18-LD-3-FG1","LD","SL18-SF-19-MG2","SF","SL18-LD-3-FG1xSL18-SF-19-MG2","SL18-UCONN-38",2,1,"4","TBD","9",2,1.47,0.91,1.615384615,15.64,0.23,140,"ES","0","0"
"39","SL18-UCONN-39",39,"2019","39","GOM","39","5_30_2019","122",NA,"SL18-LD-3-FG2","LD","SA18-CB-2-MG3","CB","SL18-LD-3-FG2xSA18-CB-2-MG3","SL18-UCONN-39",2,1,"1","TBD","4",3,2.11,0.87,2.425287356,8.43,0.18,200,"ES","0","0"
"40","SL18-UCONN-40",40,"2019","40","GOM","40","5_30_2019","122",NA,"SL18-LD-3-FG2","LD","SL18-LL-9-MG2","LL","SL18-LD-3-FG2xSL18-LL-9-MG2","SL18-UCONN-40",2,1,"3","TBD","5",3,3.07,0.77,3.987012987,6.12,0.19,460,"ES","0","0"
"41","SL18-UCONN-41",41,"2019","41","GOM","41","5_29_2019","122",NA,"SL18-LD-3-FG2","LD","SL18-SF-17-MG3","SF","SL18-LD-3-FG2xSL18-SF-17-MG3","SL18-UCONN-41",2,1,"2","TBD","4",2,0.95,0.85,1.117647059,10.99,0.1,40,"ES","0","0"
"43","SL18-UCONN-43",43,"2019","43","GOM","43","5_29_2019","122",NA,"SL18-LD-4-FG1","LD","SA18-CB-2-MG1","CB","SL18-LD-4-FG1xSA18-CB-2-MG1","SL18-UCONN-43",2,1,"2","TBD","9",3,2.22,0.8,2.775,8.35,0.19,380,"ES","0","0"
"44","SL18-UCONN-44",44,"2019","44","GOM","44","5_31_2019","122",NA,"SL18-LD-4-FG1","LD","SL18-NL-3-MG2","NL","SL18-LD-4-FG1xSL18-NL-3-MG2","SL18-UCONN-44",2,1,"3","TBD","8",3,1.56,0.86,1.813953488,8.83,0.14,240,"ES","0","0"
"45","SL18-UCONN-45",45,"2019","45","GOM","45","5_30_2019","122",NA,"SL18-LD-4-FG2","LD","SL18-LL-9-MG1","LL","SL18-LD-4-FG2xSL18-LL-9-MG1","SL18-UCONN-45",2,1,"1","TBD","2",2,0.56,0.917,0.610687023,14.07,0.08,0,"ES","0","0"
"46","SL18-UCONN-46",46,"2019","46","GOM","46","5_29_2019","122",NA,"SL18-LD-4-FG2","LD","SL18-SF-15-MG2","SF","SL18-LD-4-FG2xSL18-SF-15-MG2","SL18-UCONN-46",2,1,"2","TBD","2",3,3.03,0.73,4.150684932,8.91,0.27,200,"ES","0","0"
"47","SL18-UCONN-47",47,"2019","47","GOM","47","5_30_2019","122",NA,"SL18-LD-4-FG3","LD","SL18-SF-17-MG1","SF","SL18-LD-4-FG3xSL18-SF-17-MG1","SL18-UCONN-47",2,1,"2","TBD","5",2,1.58,0.86,1.837209302,10.48,0.17,20,"ES","0","0"
"48","SL18-UCONN-48",48,"2019","48","GOM","48","5_30_2019","122",NA,"SL18-LD-5-FG1","LD","SA18-CB-10-MG1","CB","SL18-LD-5-FG1xSA18-CB-10-MG1","SL18-UCONN-48",1,4,"1","TBD","4",2,1.22,0.94,1.29787234,10.29,0.13,40,"ES","0","0"
"5","SL18-UCONN-5",5,"2019","5","GOM","5","5_30_2019","122",NA,"SA18-CB-7-FG1","CB","SL18-LL-9-MG3","LL","SA18-CB-7-FG1xSL18-LL-9-MG3","SL18-UCONN-5",3,4,"2","TBD","7",3,4.66,0.86,5.418604651,8.13,0.38,240,"ES","0","0"
"51","SL18-UCONN-51",51,"2019","51","GOM","51","5_29_2019","122",NA,"SL18-LD-9-FG2","LD","SL18-SF-13-MG3","SF","SL18-LD-9-FG2xSL18-SF-13-MG3","SL18-UCONN-51",2,1,"2","TBD","5",2,1.15,0.86,1.337209302,9.26,0.11,40,"ES","0","0"
"53","SL18-UCONN-53",53,"2019","53","GOM","53","5_30_2019","122",NA,"SL18-LD-9-FG3","LD","SL18-NL-7-MG1","NL","SL18-LD-9-FG3xSL18-NL-7-MG1","SL18-UCONN-53",2,1,"3","TBD","6",3,1.18,0.71,1.661971831,9.87,0.12,20,"ES","0","0"
"54","SL18-UCONN-54",54,"2019","54","GOM","54","5_31_2019","122",NA,"SL18-LD-9-FG3","LD","SL18-SF-17-MG1","SF","SL18-LD-9-FG3xSL18-SF-17-MG1","SL18-UCONN-54",1,4,"4","TBD","7",3,3.21,0.9,3.566666667,8.91,0.29,340,"ES","0","0"
"56","SL18-UCONN-56",56,"2019","56","GOM","56","5_30_2019","122",NA,"SL18-LL-9-FG3","LL","SL18-NL-9-MG1","NL","SL18-LL-9-FG3xSL18-NL-9-MG1","SL18-UCONN-56",2,1,"1","TBD","3",3,0.4,0.73,0.547945205,0,0,220,"ES","0","0"
"57","SL18-UCONN-57",57,"2019","57","GOM","57","5_30_2019","122",NA,"SL18-NL-10-FG1","NL","SA18-CB-4-MG3","CB","SL18-NL-10-FG1xSA18-CB-4-MG3","SL18-UCONN-57",3,4,"3","TBD","3",3,5.76,0.68,8.470588235,4.15,0.24,480,"ES","0","0"
"58","SL18-UCONN-58",58,"2019","58","GOM","58","5_29_2019","122",NA,"SL18-NL-10-FG1","NL","SL18-LD-2-MG1","LD","SL18-NL-10-FG1xSL18-LD-2-MG1","SL18-UCONN-58",2,1,"2","TBD","8",2,0.54,0.94,0.574468085,12.34,0.07,120,"ES","0","0"
"6","SL18-UCONN-6",6,"2019","6","GOM","6","5_31_2019","122",NA,"SL18-LD-10-FG1","LD","SA18-CB-1-MG2","CB","SL18-LD-10-FG1xSA18-CB-1-MG2","SL18-UCONN-6",2,1,"3","TBD","8",3,2.69,0.93,2.892473118,9.78,0.26,320,"ES","0","0"
"60","SL18-UCONN-60",60,"2019","60","GOM","60","5_30_2019","122",NA,"SL18-NL-10-FG1","NL","SL18-OI-15-MG1","OI","SL18-NL-10-FG1xSL18-OI-15-MG1","SL18-UCONN-60",3,4,"1","TBD","3",3,4.42,0.93,4.752688172,8.49,0.38,260,"ES","0","0"
"61","SL18-UCONN-62",61,"2019","62","GOM","62","5_29_2019","122",NA,"SL18-NL-10-FG1","NL","SL18-OI-7-MG1","OI","SL18-NL-10-FG1xSL18-OI-7-MG1","SL18-UCONN-62",2,4,"2","TBD","4",3,4.24,0.89,4.764044944,8.02,0.34,580,"ES","0","0"
"62","SL18-UCONN-63",62,"2019","63","GOM","63","5_31_2019","122",NA,"SL18-NL-10-FG1","NL","SL18-SF-13-MG1","SF","SL18-NL-10-FG1xSL18-SF-13-MG1","SL18-UCONN-63",2,4,"4","TBD","5",3,4.04,0.94,4.29787234,8.19,0.33,420,"ES","0","0"
"71","SL18-UCONN-72",71,"2019","72","GOM","72","5_30_2019","122",NA,"SL18-NL-10-FG3","NL","SL18-NL-3-MG2","NL","SL18-NL-10-FG3xSL18-NL-3-MG2","SL18-UCONN-72",2,4,"1","TBD","7",2,0.43,0.91,0.472527473,10,0.04,100,"ES","1","0"
"72","SL18-UCONN-73",72,"2019","73","GOM","73","5_29_2019","122",NA,"SL18-NL-2-FG1","NL","SA18-CB-1-MG2","CB","SL18-NL-2-FG1xSA18-CB-1-MG2","SL18-UCONN-73",2,1,"2","TBD","9",3,4.54,0.93,4.88172043,8.26,0.38,320,"ES","0","0"
"74","SL18-UCONN-75",74,"2019","75","GOM","75","5_31_2019","122",NA,"SL18-NL-2-FG1","NL","SL18-LD-13-MG2","LD","SL18-NL-2-FG1xSL18-LD-13-MG2","SL18-UCONN-75",2,4,"3","TBD","7",3,3.27,0.86,3.802325581,9.37,0.31,520,"ES","0","0"
"75","SL18-UCONN-76",75,"2019","76","GOM","76","5_30_2019","122",NA,"SL18-NL-2-FG1","NL","SL18-SF-17-MG1","SF","SL18-NL-2-FG1xSL18-SF-17-MG1","SL18-UCONN-76",1,4,"3","TBD","2",3,3.54,0.88,4.022727273,11.91,0.42,220,"ES","0","0"
"76","SL18-UCONN-77",76,"2019","77","GOM","77","5_31_2019","122",NA,"SL18-NL-2-FG3","NL","SA18-CB-2-MG3","CB","SL18-NL-2-FG3xSA18-CB-2-MG3","SL18-UCONN-77",1,1,"4","TBD","1",3,1.78,0.89,2,9.65,0.17,120,"ES","0","0"
"77","SL18-UCONN-78",77,"2019","78","GOM","78","5_29_2019","122",NA,"SL18-NL-2-FG3","NL","SA18-CB-4-MG1","CB","SL18-NL-2-FG3xSA18-CB-4-MG1","SL18-UCONN-78",1,1,"2","TBD","3",3,1.28,0.82,1.56097561,7.78,0.1,40,"ES","0","0"
"78","SL18-UCONN-79",78,"2019","79","GOM","79","5_31_2019","122",NA,"SL18-NL-2-FG3","NL","SL18-LD-3-MG2","LD","SL18-NL-2-FG3xSL18-LD-3-MG2","SL18-UCONN-79",2,1,"4","TBD","4",3,1.31,0.73,1.794520548,9.38,0.12,0,"ES","0","0"
"79","SL18-UCONN-80",79,"2019","80","GOM","80","5_31_2019","122",NA,"SL18-NL-2-FG3","NL","SL18-OI-16-MG1","OI","SL18-NL-2-FG3xSL18-OI-16-MG1","SL18-UCONN-80",2,4,"4","TBD","3",3,3.58,0.84,4.261904762,8.47,0.3,280,"ES","0","0"
"81","SL18-UCONN-82",81,"2019","82","GOM","82","5_30_2019","122",NA,"SL18-NL-3-FG1","NL","SA18-CB-7-MG2","CB","SL18-NL-3-FG1xSA18-CB-7-MG2","SL18-UCONN-82",2,4,"3","TBD","3",3,4.7,0.95,4.947368421,9.07,0.43,240,"ES","0","0"
"83","SL18-UCONN-84",83,"2019","84","GOM","84","5_31_2019","122",NA,"SL18-NL-3-FG1","NL","SL18-OI-11-MG2","OI","SL18-NL-3-FG1xSL18-OI-11-MG2","SL18-UCONN-84",3,1,"4","TBD","2",3,2.66,1.2,2.216666667,9.75,0.26,280,"ES","0","0"
"84","SL18-UCONN-85",84,"2019","85","GOM","85","5_31_2019","122",NA,"SL18-NL-3-FG1","NL","SL18-SF-13-MG2","SF","SL18-NL-3-FG1xSL18-SF-13-MG2","SL18-UCONN-85",3,1,"4","TBD","5",3,1.68,0.92,1.826086957,12.06,0.2,160,"ES","0","0"
"86","SL18-UCONN-87",86,"2019","87","GOM","87","5_31_2019","122",NA,"SL18-NL-3-FG2","NL","SL18-SF-17-MG2","SF","SL18-NL-3-FG2xSL18-SF-17-MG2","SL18-UCONN-87",2,4,"4","TBD","8",3,6.16,0.87,7.08045977,7.45,0.46,480,"ES","0","0"
"87","SL18-UCONN-88",87,"2019","88","GOM","88","5_31_2019","122",NA,"SL18-NL-3-FG3","NL","SA18-CB-2-MG2","CB","SL18-NL-3-FG3xSA18-CB-2-MG2","SL18-UCONN-88",1,1,"4","TBD","8",3,1.74,1.03,1.689320388,9.49,0.17,140,"ES","0","0"
"9","SL18-UCONN-9",9,"2019","9","GOM","9","5_29_2019","122",NA,"SL18-LD-10-FG1","LD","SL18-OI-18-MG1","OI","SL18-LD-10-FG1xSL18-OI-18-MG1","SL18-UCONN-9",1,1,"2","TBD","1",3,1.33,0.8,1.6625,11.87,0.16,80,"ES","0","0"
"93","SL18-UCONN-94",93,"2019","94","GOM","94","5_29_2019","122",NA,"SL18-NL-6-FG1","NL","SA18-CB-3-MG3","CB","SL18-NL-6-FG1xSA18-CB-3-MG3","SL18-UCONN-94",3,4,"2","TBD","2",3,7.62,1.08,7.055555556,6.24,0.48,620,"ES","0","0"
"94","SL18-UCONN-95",94,"2019","95","GOM","95","5_30_2019","122",NA,"SL18-NL-6-FG1","NL","SA18-CB-7-MG2","CB","SL18-NL-6-FG1xSA18-CB-7-MG2","SL18-UCONN-95",2,4,"2","TBD","6",3,5.3,0.89,5.95505618,8.75,0.46,400,"ES","0","0"
"95","SL18-UCONN-96",95,"2019","96","GOM","96","5_30_2019","122",NA,"SL18-NL-6-FG1","NL","SL18-LD-1-MG2","LD","SL18-NL-6-FG1xSL18-LD-1-MG2","SL18-UCONN-96",2,1,"1","TBD","2",3,2.05,0.91,2.252747253,8.96,0.18,360,"ES","0","0"
"96","SL18-UCONN-97",96,"2019","97","GOM","97","5_30_2019","122",NA,"SL18-NL-6-FG1","NL","SL18-LD-2-MG1","LD","SL18-NL-6-FG1xSL18-LD-2-MG1","SL18-UCONN-97",2,4,"2","TBD","5",3,3.58,0.92,3.891304348,7.67,0.27,400,"ES","0","0"
"97","SL18-UCONN-98",97,"2019","98","GOM","98","5_30_2019","122",NA,"SL18-NL-6-FG1","NL","SL18-LD-3-MG2","LD","SL18-NL-6-FG1xSL18-LD-3-MG2","SL18-UCONN-98",3,4,"3","TBD","5",3,4.51,0.88,5.125,7.7,0.35,600,"ES","0","0"
"98","SL18-UCONN-99",98,"2019","99","GOM","99","5_30_2019","122",NA,"SL18-NL-6-FG1","NL","SL18-NL-2-MG1","NL","SL18-NL-6-FG1xSL18-NL-2-MG1","SL18-UCONN-99",2,4,"1","TBD","6",3,2.69,0.94,2.861702128,9.09,0.24,420,"ES","1","0"
"570","Check",570,"2019","Z1-A","GOM","C1-A","5_29_2019","122",NA,"SL-ME1-FG1","ME","SL-ME1-MG1","ME","SL-ME1-FG1xSL-ME1-MG1","Check",1,1,"2","TBD","8",3,2.71,0.86,3.151162791,10.96,0.3,480,"Z1","1","0"
"571","Check",571,"2019","Z1-B","GOM","C1-B","5_29_2019","122",NA,"SL-ME1-FG1","ME","SL-ME1-MG1","ME","SL-ME1-FG1xSL-ME1-MG1","Check",1,1,"2","TBD","2",3,2.09,0.56,3.732142857,13.88,0.29,200,"Z1","1","0"
"572","Check",572,"2019","Z1-C","GOM","C1-C","5_29_2019","122",NA,"SL-ME1-FG1","ME","SL-ME1-MG1","ME","SL-ME1-FG1xSL-ME1-MG1","Check",1,1,"2","TBD","4",3,3.87,0.9,4.3,8.09,0.31,480,"Z1","1","0"
"573","Check",573,"2019","Z1-D","GOM","C1-D","5_30_2019","122",NA,"SL-ME1-FG1","ME","SL-ME1-MG1","ME","SL-ME1-FG1xSL-ME1-MG1","Check",2,1,"1","TBD","5",3,1.15,0.85,1.352941176,9.1,0.1,140,"Z1","1","0"
"574","Check",574,"2019","Z1-E","GOM","C1-E","5_30_2019","122",NA,"SL-ME1-FG1","ME","SL-ME1-MG1","ME","SL-ME1-FG1xSL-ME1-MG1","Check",1,1,"1","TBD","8",3,2.02,0.94,2.14893617,8.25,0.17,260,"Z1","1","0"
"575","Check",575,"2019","Z1-F","GOM","C1-F","5_30_2019","122",NA,"SL-ME1-FG1","ME","SL-ME1-MG1","ME","SL-ME1-FG1xSL-ME1-MG1","Check",2,1,"3","TBD","1",3,4.41,0.87,5.068965517,9.31,0.41,300,"Z1","1","0"
"576","Check",576,"2019","Z1-G","GOM","C1-G","5_31_2019","122",NA,"SL-ME1-FG1","ME","SL-ME1-MG1","ME","SL-ME1-FG1xSL-ME1-MG1","Check",2,1,"4","TBD","6",3,2.64,0.8,3.3,7.73,0.2,240,"Z1","1","0"
"577","Check",577,"2019","Z1-H","GOM","C1-H","5_31_2019","122",NA,"SL-ME1-FG1","ME","SL-ME1-MG1","ME","SL-ME1-FG1xSL-ME1-MG1","Check",2,1,"4","TBD","7",3,3.67,0.84,4.369047619,10.2,0.37,260,"Z1","1","0"
"578","Check",578,"2019","Z1-I","GOM","C1-I","5_31_2019","122",NA,"SL-ME1-FG1","ME","SL-ME1-MG1","ME","SL-ME1-FG1xSL-ME1-MG1","Check",1,1,"4","TBD","9",3,3.65,0.84,4.345238095,8.6,0.31,420,"Z1","1","0"
"579","Check",579,"2019","Z1-J","GOM","C1-J","5_31_2019","122",NA,"SL-ME1-FG1","ME","SL-ME1-MG1","ME","SL-ME1-FG1xSL-ME1-MG1","Check",1,1,"4","TBD","3",3,2.34,0.71,3.295774648,9.37,0.22,660,"Z1","1","0"
"580","Check",580,"2019","Z2-A","GOM","C2-A","5_29_2019","122",NA,"SL-ME1-FG1","ME","SL-ME2-MG2","ME","SL-ME1-FG1xSL-ME2-MG2","Check",1,1,"2","TBD","3",3,1.75,0.87,2.011494253,9.94,0.17,240,"Z2","1","0"
"581","Check",581,"2019","Z2-B","GOM","C2-B","5_30_2019","122",NA,"SL-ME1-FG1","ME","SL-ME2-MG2","ME","SL-ME1-FG1xSL-ME2-MG2","Check",1,1,"1","TBD","9",3,1.56,0.89,1.752808989,10.44,0.16,40,"Z2","1","0"
"583","Check",583,"2019","Z2-D","GOM","C2-D","5_30_2019","122",NA,"SL-ME1-FG1","ME","SL-ME2-MG2","ME","SL-ME1-FG1xSL-ME2-MG2","Check",1,1,"3","TBD","5",3,2.83,1.05,2.695238095,7.81,0.22,160,"Z2","1","0"
"584","Check",584,"2019","Z2-E","GOM","C2-E","5_31_2019","122",NA,"SL-ME1-FG1","ME","SL-ME2-MG2","ME","SL-ME1-FG1xSL-ME2-MG2","Check",1,1,"3","TBD","7",3,2.5,0.87,2.873563218,4.97,0.12,200,"Z2","1","0"
"585","Check",585,"2019","Z2-F","GOM","C2-F","5_31_2019","122",NA,"SL-ME1-FG1","ME","SL-ME2-MG2","ME","SL-ME1-FG1xSL-ME2-MG2","Check",1,1,"3","TBD","8",3,2.36,0.82,2.87804878,10.21,0.24,120,"Z2","1","0"
"586","Check",586,"2019","Z2-G","GOM","C2-G","5_31_2019","122",NA,"SL-ME1-FG1","ME","SL-ME2-MG2","ME","SL-ME1-FG1xSL-ME2-MG2","Check",1,1,"4","TBD","2",3,3.06,0.87,3.517241379,9.82,0.3,220,"Z2","1","0"
"587","Check",587,"2019","Z2-H","GOM","C2-H","5_31_2019","122",NA,"SL-ME1-FG1","ME","SL-ME2-MG2","ME","SL-ME1-FG1xSL-ME2-MG2","Check",2,1,"4","TBD","4",2,1.15,0.84,1.369047619,10.92,0.13,180,"Z2","1","0"
